education,race,gender,age,income
15.0,16.0,1.0,48.0,3000.0
15.0,16.0,2.0,48.0,3000.0
15.0,16.0,2.0,23.0,1100.0
14.0,16.0,2.0,21.0,1100.0
15.0,16.0,2.0,54.0,460.0
15.0,2.0,1.0,56.0,10000.0
15.0,4.0,2.0,23.0,500.0
0.0,4.0,2.0,63.0,622.0
11.0,2.0,2.0,39.0,622.0
15.0,4.0,1.0,49.0,1200.0
4.0,2.0,2.0,12.0,
8.0,4.0,1.0,52.0,1000.0
11.0,4.0,2.0,38.0,
11.0,4.0,2.0,18.0,1200.0
6.0,4.0,1.0,13.0,
0.0,4.0,1.0,4.0,
8.0,4.0,2.0,70.0,622.0
8.0,4.0,1.0,53.0,7000.0
8.0,4.0,2.0,47.0,
15.0,4.0,1.0,24.0,1700.0
13.0,16.0,1.0,20.0,
10.0,4.0,1.0,39.0,5000.0
14.0,2.0,2.0,37.0,
9.0,4.0,1.0,15.0,
14.0,16.0,1.0,31.0,2000.0
0.0,4.0,2.0,7.0,
4.0,4.0,1.0,58.0,622.0
15.0,4.0,2.0,59.0,800.0
7.0,4.0,1.0,13.0,
11.0,16.0,1.0,39.0,6000.0
15.0,16.0,2.0,30.0,2500.0
1.0,16.0,1.0,8.0,
13.0,4.0,2.0,29.0,980.0
5.0,16.0,1.0,61.0,1500.0
4.0,16.0,2.0,56.0,1500.0
11.0,16.0,1.0,37.0,2000.0
15.0,16.0,2.0,33.0,2000.0
4.0,16.0,2.0,57.0,622.0
3.0,2.0,1.0,45.0,4350.0
11.0,4.0,2.0,30.0,
1.0,4.0,2.0,9.0,
0.0,4.0,2.0,2.0,
13.0,16.0,2.0,27.0,
13.0,4.0,1.0,36.0,7000.0
0.0,4.0,2.0,6.0,
6.0,16.0,1.0,50.0,3000.0
15.0,16.0,2.0,25.0,622.0
8.0,16.0,1.0,49.0,622.0
,4.0,2.0,37.0,300.0
3.0,4.0,2.0,10.0,
1.0,4.0,1.0,8.0,
10.0,2.0,2.0,26.0,772.0
11.0,2.0,2.0,19.0,622.0
4.0,4.0,2.0,48.0,500.0
5.0,4.0,1.0,15.0,
0.0,16.0,1.0,7.0,
0.0,16.0,2.0,67.0,622.0
15.0,16.0,1.0,36.0,2000.0
15.0,4.0,2.0,24.0,1000.0
8.0,4.0,2.0,28.0,
11.0,16.0,2.0,40.0,1600.0
10.0,16.0,1.0,29.0,1500.0
0.0,16.0,2.0,7.0,
5.0,4.0,2.0,25.0,282.0
0.0,16.0,1.0,7.0,
12.0,16.0,1.0,56.0,6000.0
12.0,16.0,2.0,47.0,1800.0
15.0,16.0,1.0,28.0,4500.0
7.0,16.0,1.0,14.0,
14.0,4.0,1.0,23.0,2050.0
14.0,16.0,2.0,26.0,1900.0
14.0,4.0,2.0,29.0,1900.0
11.0,16.0,2.0,29.0,
8.0,16.0,1.0,38.0,1200.0
1.0,16.0,2.0,10.0,
1.0,16.0,2.0,8.0,
0.0,16.0,2.0,5.0,
15.0,16.0,2.0,37.0,
1.0,16.0,1.0,8.0,
15.0,16.0,2.0,43.0,2200.0
4.0,16.0,1.0,43.0,4000.0
11.0,4.0,1.0,20.0,1000.0
4.0,4.0,2.0,49.0,550.0
6.0,4.0,1.0,26.0,800.0
9.0,4.0,2.0,17.0,600.0
11.0,4.0,2.0,33.0,622.0
8.0,4.0,1.0,35.0,1000.0
1.0,4.0,2.0,8.0,
11.0,16.0,1.0,53.0,622.0
15.0,16.0,2.0,43.0,2200.0
10.0,16.0,1.0,25.0,950.0
8.0,4.0,1.0,70.0,622.0
6.0,4.0,2.0,56.0,600.0
11.0,4.0,1.0,25.0,622.0
8.0,16.0,2.0,39.0,622.0
11.0,2.0,1.0,39.0,622.0
10.0,16.0,1.0,24.0,622.0
0.0,16.0,2.0,83.0,622.0
11.0,4.0,2.0,18.0,
6.0,4.0,1.0,23.0,600.0
0.0,16.0,1.0,0.0,
8.0,4.0,2.0,27.0,250.0
11.0,4.0,1.0,31.0,1200.0
0.0,4.0,2.0,8.0,
2.0,4.0,1.0,7.0,
3.0,4.0,2.0,64.0,1244.0
3.0,4.0,1.0,72.0,622.0
2.0,4.0,1.0,10.0,
8.0,4.0,2.0,51.0,622.0
11.0,4.0,1.0,23.0,622.0
11.0,4.0,1.0,20.0,622.0
10.0,4.0,2.0,21.0,680.0
0.0,4.0,1.0,56.0,622.0
0.0,16.0,1.0,69.0,622.0
2.0,16.0,2.0,65.0,622.0
4.0,4.0,1.0,58.0,2000.0
8.0,16.0,2.0,52.0,400.0
4.0,4.0,1.0,17.0,1000.0
10.0,4.0,1.0,19.0,
8.0,16.0,2.0,18.0,622.0
0.0,4.0,2.0,40.0,170.0
8.0,4.0,2.0,15.0,
0.0,4.0,2.0,10.0,
1.0,4.0,1.0,10.0,
11.0,2.0,2.0,24.0,100.0
