,education,income,income_work,income_rent,income_capital,race,gender,weight,age,occupation,uf
0,15.0,3000.0,3000.0,,,16,1,246.0,48.0,1310.0,11
1,15.0,3000.0,3000.0,,,16,2,246.0,48.0,4110.0,11
2,15.0,1100.0,1100.0,,,16,2,246.0,23.0,3514.0,11
3,14.0,1100.0,1100.0,,,16,2,246.0,21.0,3514.0,11
4,15.0,460.0,,460.0,460.0,16,2,246.0,54.0,,11
5,15.0,10000.0,10000.0,,,2,1,246.0,56.0,2143.0,11
6,15.0,500.0,500.0,,,4,2,247.0,23.0,2611.0,11
7,0.0,622.0,,,,4,2,246.0,63.0,,11
8,11.0,622.0,622.0,,,2,2,247.0,39.0,5132.0,11
9,15.0,1200.0,1200.0,,,4,1,246.0,49.0,7152.0,11
10,4.0,,,,,2,2,246.0,12.0,,11
11,8.0,1000.0,1000.0,,,4,1,246.0,52.0,7825.0,11
12,11.0,,,,,4,2,247.0,38.0,,11
13,11.0,1200.0,1200.0,,,4,2,246.0,18.0,4211.0,11
14,6.0,,,,,4,1,246.0,13.0,,11
15,0.0,,,,,4,1,246.0,4.0,,11
16,8.0,622.0,,,,4,2,247.0,70.0,,11
17,8.0,7000.0,7000.0,,,4,1,246.0,53.0,1219.0,11
18,8.0,,,,,4,2,247.0,47.0,,11
19,15.0,1700.0,1700.0,,,4,1,246.0,24.0,4121.0,11
20,13.0,,,,,16,1,246.0,20.0,,11
21,10.0,5000.0,5000.0,,,4,1,246.0,39.0,1219.0,11
22,14.0,,,,,2,2,246.0,37.0,,11
23,9.0,,,,,4,1,246.0,15.0,,11
24,14.0,2000.0,2000.0,,,16,1,247.0,31.0,1320.0,11
25,0.0,,,,,4,2,246.0,7.0,,11
26,4.0,622.0,622.0,,,4,1,247.0,58.0,5174.0,11
27,15.0,800.0,800.0,,,4,2,246.0,59.0,2313.0,11
28,7.0,,,,,4,1,246.0,13.0,,11
29,11.0,6000.0,6000.0,,,16,1,246.0,39.0,1220.0,11
30,15.0,2500.0,2500.0,,,16,2,246.0,30.0,2236.0,11
31,1.0,,,,,16,1,246.0,8.0,,11
32,13.0,980.0,980.0,,,4,2,246.0,29.0,2523.0,11
33,5.0,1500.0,1500.0,,,16,1,246.0,61.0,1310.0,11
34,4.0,1500.0,1500.0,,,16,2,246.0,56.0,1310.0,11
35,11.0,2000.0,2000.0,,,16,1,246.0,37.0,5211.0,11
36,15.0,2000.0,2000.0,,,16,2,247.0,33.0,1320.0,11
37,4.0,622.0,,,622.0,16,2,246.0,57.0,,11
38,3.0,4350.0,4000.0,350.0,350.0,2,1,246.0,45.0,1219.0,11
39,11.0,,,,,4,2,246.0,30.0,,11
40,1.0,,,,,4,2,246.0,9.0,,11
41,0.0,,,,,4,2,246.0,2.0,,11
42,13.0,,,,,16,2,246.0,27.0,,11
43,13.0,7000.0,7000.0,,,4,1,246.0,36.0,7825.0,11
44,0.0,,,,,4,2,246.0,6.0,,11
45,6.0,3000.0,3000.0,,,16,1,246.0,50.0,5211.0,11
46,15.0,622.0,622.0,,,16,2,246.0,25.0,5161.0,11
47,8.0,622.0,,,622.0,16,1,246.0,49.0,,11
48,,300.0,300.0,,,4,2,246.0,37.0,5121.0,11
49,3.0,,,,,4,2,247.0,10.0,,11
50,1.0,,,,,4,1,247.0,8.0,,11
51,10.0,772.0,622.0,150.0,150.0,2,2,246.0,26.0,5121.0,11
52,11.0,622.0,622.0,,,2,2,246.0,19.0,5162.0,11
53,4.0,500.0,500.0,,,4,2,246.0,48.0,5121.0,11
54,5.0,,,,,4,1,246.0,15.0,,11
55,0.0,,,,,16,1,246.0,7.0,,11
56,0.0,622.0,,,,16,2,246.0,67.0,,11
57,15.0,2000.0,2000.0,,,16,1,246.0,36.0,1310.0,11
58,15.0,1000.0,1000.0,,,4,2,246.0,24.0,5134.0,11
59,8.0,,,,,4,2,246.0,28.0,,11
60,11.0,1600.0,1600.0,,,16,2,246.0,40.0,1310.0,11
61,10.0,1500.0,1500.0,,,16,1,246.0,29.0,1310.0,11
62,0.0,,,,,16,2,246.0,7.0,,11
63,5.0,282.0,250.0,,32.0,4,2,246.0,25.0,5121.0,11
64,0.0,,,,,16,1,247.0,7.0,,11
65,12.0,6000.0,6000.0,,,16,1,246.0,56.0,4121.0,11
66,12.0,1800.0,1800.0,,,16,2,246.0,47.0,2516.0,11
67,15.0,4500.0,4500.0,,,16,1,246.0,28.0,3115.0,11
68,7.0,,,,,16,1,247.0,14.0,,11
69,14.0,2050.0,2050.0,,,4,1,246.0,23.0,5173.0,11
70,14.0,1900.0,1900.0,,,16,2,247.0,26.0,4110.0,11
71,14.0,1900.0,1900.0,,,4,2,246.0,29.0,5172.0,11
72,11.0,,,,,16,2,246.0,29.0,,11
73,8.0,1200.0,1200.0,,,16,1,246.0,38.0,5211.0,11
74,1.0,,,,,16,2,247.0,10.0,,11
75,1.0,,,,,16,2,247.0,8.0,,11
76,0.0,,,,,16,2,246.0,5.0,,11
77,15.0,,,,,16,2,246.0,37.0,,11
78,1.0,,,,,16,1,247.0,8.0,,11
79,15.0,2200.0,2200.0,,,16,2,246.0,43.0,2313.0,11
80,4.0,4000.0,4000.0,,,16,1,246.0,43.0,5211.0,11
81,11.0,1000.0,1000.0,,,4,1,247.0,20.0,4110.0,11
82,4.0,550.0,550.0,,,4,2,246.0,49.0,5121.0,11
83,6.0,800.0,800.0,,,4,1,246.0,26.0,7170.0,11
84,9.0,600.0,600.0,,,4,2,246.0,17.0,5121.0,11
85,11.0,622.0,622.0,,,4,2,246.0,33.0,4110.0,11
86,8.0,1000.0,1000.0,,,4,1,246.0,35.0,3189.0,11
87,1.0,,,,,4,2,246.0,8.0,,11
88,11.0,622.0,622.0,,,16,1,246.0,53.0,7114.0,11
89,15.0,2200.0,2200.0,,,16,2,246.0,43.0,2392.0,11
90,10.0,950.0,950.0,,,16,1,246.0,25.0,5211.0,11
91,8.0,622.0,,,,4,1,247.0,70.0,7170.0,11
92,6.0,600.0,600.0,,,4,2,246.0,56.0,5132.0,11
93,11.0,622.0,622.0,,,4,1,246.0,25.0,4110.0,11
94,8.0,622.0,622.0,,,16,2,246.0,39.0,4221.0,11
95,11.0,622.0,622.0,,,2,1,246.0,39.0,1310.0,11
96,10.0,622.0,622.0,,,16,1,247.0,24.0,5231.0,11
97,0.0,622.0,,,,16,2,246.0,83.0,,11
98,11.0,,,,,4,2,246.0,18.0,,11
99,6.0,600.0,600.0,,,4,1,246.0,23.0,6319.0,11
100,0.0,,,,,16,1,246.0,0.0,,11
101,8.0,250.0,250.0,,,4,2,246.0,27.0,5121.0,11
102,11.0,1200.0,1200.0,,,4,1,246.0,31.0,1310.0,11
103,0.0,,,,,4,2,246.0,8.0,,11
104,2.0,,,,,4,1,246.0,7.0,,11
105,3.0,1244.0,,,,4,2,246.0,64.0,,11
106,3.0,622.0,,,,4,1,246.0,72.0,,11
107,2.0,,,,,4,1,246.0,10.0,,11
108,8.0,622.0,,,,4,2,247.0,51.0,,11
109,11.0,622.0,622.0,,,4,1,246.0,23.0,5174.0,11
110,11.0,622.0,622.0,,,4,1,246.0,20.0,5191.0,11
111,10.0,680.0,680.0,,,4,2,246.0,21.0,7841.0,11
112,0.0,622.0,622.0,,,4,1,247.0,56.0,7731.0,11
113,0.0,622.0,,,,16,1,247.0,69.0,,11
114,2.0,622.0,,,,16,2,246.0,65.0,,11
115,4.0,2000.0,2000.0,,,4,1,246.0,58.0,7152.0,11
116,8.0,400.0,400.0,,,16,2,246.0,52.0,5243.0,11
